Id,SalePrice
1461,116377.83310339233
1462,155199.28881275322
1463,169637.15373832732
1464,187339.2493840363
1465,238624.3713351339
1466,177109.01523520995
1467,173466.57925167336
1468,159777.2172268452
1469,191343.3541124139
1470,107307.14249629359
1471,166078.09539682785
1472,101092.73839005054
1473,86138.33854269801
1474,142296.41877150617
1475,127090.13262366544
1476,401759.7198126759
1477,285488.42620205
1478,298322.97591706854
1479,301820.7466674675
1480,459762.44476118614
1481,313810.98300170386
1482,234329.24127591576
1483,181446.35426077613
1484,159610.1166518493
1485,183514.03085531545
1486,199437.0308946867
1487,346309.29603846185
1488,253670.2846186146
1489,228333.27521717103
1490,233192.9277161474
1491,206488.10611084907
1492,102598.55975830893
1493,179449.05375108443
1494,301760.53630913154
1495,291871.0284077944
1496,211410.34124180634
1497,189622.33499517402
1498,151747.85987869615
1499,146321.16015191667
1500,137071.47024066414
1501,163451.97222612478
1502,134641.26350229094
1503,279106.1213090171
1504,245888.09367615182
1505,228958.03044412937
1506,185297.56679286744
1507,239711.62966868852
1508,192019.88758757262
1509,148576.9665315784
1510,139926.2443344086
1511,144303.41775013524
1512,174565.29753430968
1513,172637.9367448079
1514,142326.6568309978
1515,231055.09417808137
1516,152893.4571804704
1517,177542.7179958204
1518,129313.03209465701
1519,207166.59875797218
1520,123542.7058062859
1521,136354.20795554167
1522,187304.9441848215
1523,109132.66688834532
1524,132253.0750342224
1525,113622.2279295919
1526,117288.76345454145
1527,101835.28286710335
1528,132881.83028334635
1529,134167.47806331952
1530,219134.65151829255
1531,136841.98804136063
1532,99680.5591055277
1533,149958.3778341515
1534,134633.5094507906
1535,152016.9670511692
1536,95119.56366630021
1537,33021.35595001129
1538,167169.84512080566
1539,205695.4914241595
1540,114258.3131506251
1541,143966.88043817016
1542,142270.85104011162
1543,192835.5070682608
1544,82505.44727820146
1545,127691.9835037411
1546,137203.8283710294
1547,145550.476746729
1548,153069.4656249258
1549,115342.0082444484
1550,126574.74460389413
1551,108276.01122488029
1552,140656.4126457118
1553,165707.07000649645
1554,126012.43000940105
1555,171745.51688948175
1556,88469.13095311547
1557,124445.10552546725
1558,95041.04772612773
1559,96165.2641886212
1560,117664.95836279151
1561,125723.87866372557
1562,124126.72998737922
1563,120993.63423107384
1564,171616.42452415265
1565,140606.3646098181
1566,241799.1015844202
1567,60795.5736127806
1568,222540.33245311305
1569,104216.63355178037
1570,140928.01974364248
1571,110903.8342647836
1572,133334.80101933057
1573,253387.44978174733
1574,129480.2125997562
1575,234194.47249887115
1576,230099.79951404769
1577,195545.07318885525
1578,147023.41404579615
1579,149416.83730448456
1580,204338.01961534622
1581,152912.36761100718
1582,113950.20681746321
1583,269207.2656432792
1584,233930.69757165748
1585,129240.8614979097
1586,66810.11443099729
1587,110195.42234089028
1588,140084.13310827076
1589,94618.55106361542
1590,132068.4538620144
1591,103560.03674339713
1592,121801.75180544402
1593,124977.1042147415
1594,146000.33306364284
1595,122925.03311037854
1596,224995.64724507893
1597,185697.4895129386
1598,228096.29334774823
1599,190967.71590022376
1600,189196.16801914928
1601,48275.598539545725
1602,127014.11098533444
1603,54542.27621559723
1604,244248.12308724842
1605,224937.80722709058
1606,164158.94025322254
1607,180461.84310321498
1608,211156.2564969635
1609,220379.52960200424
1610,168946.95532894926
1611,142276.5494057297
1612,174729.9870166697
1613,174257.21635693475
1614,122999.75016640389
1615,87099.35486470879
1616,68762.59509146382
1617,79323.85049015709
1618,113925.48826122202
1619,135069.56976392976
1620,157169.99778914818
1621,132730.7513202562
1622,135071.70225776546
1623,257201.11649032484
1624,199975.94266265217
1625,115518.41806757881
1626,163433.76045837527
1627,179697.72528239537
1628,244235.43953220343
1629,193522.96687777416
1630,351847.6589015001
1631,270745.93668211735
1632,262115.33301971277
1633,179829.50120381417
1634,169864.72615580854
1635,159843.39349588513
1636,153410.07308965077
1637,192710.44170162675
1638,195816.4857222673
1639,196214.12371614063
1640,257929.93093978305
1641,190323.15893878252
1642,232710.90218348376
1643,242214.75164152583
1644,240228.9663496003
1645,205999.10051748174
1646,145576.89681251266
1647,152461.49487435416
1648,139441.4322512006
1649,134818.27504412452
